day,date,tender,value
Sunday,2022-10-02,Integrated EFTPOS,775.93
Monday,2022-10-03,Integrated EFTPOS,1675.89
Tuesday,2022-10-04,Gift Voucher,20.0
Tuesday,2022-10-04,Integrated EFTPOS,2850.85
Wednesday,2022-10-05,CASH,81.0
Wednesday,2022-10-05,Gift Voucher,20.0
Wednesday,2022-10-05,Integrated EFTPOS,930.95
Thursday,2022-10-06,Gift Voucher,20.0
Thursday,2022-10-06,Integrated EFTPOS,442.95
Thursday,2022-10-06,Mail Order Pickup,49.0
Friday,2022-10-07,Gift Voucher,20.0
Friday,2022-10-07,Integrated EFTPOS,2474.28
Saturday,2022-10-08,CASH,135.0
Saturday,2022-10-08,Gift Voucher,20.0
Saturday,2022-10-08,Integrated EFTPOS,4950.09
Sunday,2022-10-09,CASH,277.0
Sunday,2022-10-09,Gift Voucher,50.0
Sunday,2022-10-09,Integrated EFTPOS,3876.69
Monday,2022-10-10,Integrated EFTPOS,998.91
Monday,2022-10-10,Mail Order Pickup,260.97
Tuesday,2022-10-11,Account,479.97
Tuesday,2022-10-11,Afterpay POS API Payment,-199.0
Tuesday,2022-10-11,Gift Voucher,20.0
Tuesday,2022-10-11,Integrated EFTPOS,3794.75
Tuesday,2022-10-11,Mail Order Pickup,278.98
Wednesday,2022-10-12,Integrated EFTPOS,672.96
Wednesday,2022-10-12,Mail Order Pickup,1118.93
Wednesday,2022-10-12,PayPal,-49.0
Thursday,2022-10-13,Account,799.94
Thursday,2022-10-13,Integrated EFTPOS,4085.17
Thursday,2022-10-13,Mail Order Pickup,625.95
Friday,2022-10-14,CASH,205.0
Friday,2022-10-14,Gift Voucher,20.0
Friday,2022-10-14,Integrated EFTPOS,3764.77
Friday,2022-10-14,Mail Order Pickup,299.98
Saturday,2022-10-15,Account,336.53
Saturday,2022-10-15,CASH,305.95
Saturday,2022-10-15,Integrated EFTPOS,2438.27
Sunday,2022-10-16,Integrated EFTPOS,4781.71
Monday,2022-10-17,Integrated EFTPOS,314.98
Monday,2022-10-17,Mail Order Pickup,358.98
Tuesday,2022-10-18,Gift Voucher,20.0
Tuesday,2022-10-18,Integrated EFTPOS,2228.36
Wednesday,2022-10-19,CASH,190.0
Wednesday,2022-10-19,Gift Voucher,30.0
Wednesday,2022-10-19,Integrated EFTPOS,3565.76
Wednesday,2022-10-19,Mail Order Pickup,134.99
Thursday,2022-10-20,Integrated EFTPOS,1812.91
Friday,2022-10-21,CASH,72.0
Friday,2022-10-21,Gift Voucher,20.0
Friday,2022-10-21,Integrated EFTPOS,3691.21
Saturday,2022-10-22,Gift Voucher,20.0
Saturday,2022-10-22,Integrated EFTPOS,4362.74
Sunday,2022-10-23,CASH,323.95
Sunday,2022-10-23,Integrated EFTPOS,3888.8
Monday,2022-10-24,Gift Voucher,239.99
Monday,2022-10-24,Integrated EFTPOS,2015.87
Tuesday,2022-10-25,Integrated EFTPOS,1088.94
Wednesday,2022-10-26,Gift Voucher,20.0
Wednesday,2022-10-26,Integrated EFTPOS,2879.86
Thursday,2022-10-27,Integrated EFTPOS,2042.41
Friday,2022-10-28,CASH,99.0
Friday,2022-10-28,Integrated EFTPOS,2075.52
Saturday,2022-10-29,Integrated EFTPOS,2517.29
Sunday,2022-10-30,CASH,49.0
Sunday,2022-10-30,Gift Voucher,100.0
Sunday,2022-10-30,Integrated EFTPOS,3220.8
Monday,2022-10-31,Integrated EFTPOS,1232.93
Monday,2022-10-31,Mail Order Pickup,99.0
Tuesday,2022-11-01,CASH,478.4
Tuesday,2022-11-01,Gift Voucher,20.0
Tuesday,2022-11-01,Integrated EFTPOS,1625.86
Wednesday,2022-11-02,Integrated EFTPOS,2975.83
Wednesday,2022-11-02,Mail Order Pickup,106.66
Thursday,2022-11-03,Gift Voucher,40.0
Thursday,2022-11-03,Integrated EFTPOS,2697.75
Thursday,2022-11-03,Mail Order Pickup,199.98
Friday,2022-11-04,CASH,153.0
Friday,2022-11-04,Integrated EFTPOS,1511.87
Saturday,2022-11-05,CASH,81.0
Saturday,2022-11-05,Gift Voucher,156.03
Saturday,2022-11-05,Integrated EFTPOS,5192.5
Sunday,2022-11-06,Integrated EFTPOS,4338.62
Monday,2022-11-07,CASH,110.0
Monday,2022-11-07,Integrated EFTPOS,2904.74
Monday,2022-11-07,Mail Order Pickup,80.99
Tuesday,2022-11-08,Gift Voucher,183.01
Tuesday,2022-11-08,Integrated EFTPOS,4426.55
Tuesday,2022-11-08,Mail Order Pickup,71.99
Wednesday,2022-11-09,Account,119.99
Wednesday,2022-11-09,Gift Voucher,20.0
Wednesday,2022-11-09,Integrated EFTPOS,3287.73
Wednesday,2022-11-09,Mail Order Pickup,263.98
Thursday,2022-11-10,Account,110.72
Thursday,2022-11-10,Integrated EFTPOS,2282.08
Thursday,2022-11-10,Mail Order Pickup,711.97
Friday,2022-11-11,Gift Voucher,20.0
Friday,2022-11-11,Integrated EFTPOS,1394.87
Friday,2022-11-11,Mail Order Pickup,205.99
Saturday,2022-11-12,Integrated EFTPOS,3461.23
Sunday,2022-11-13,Gift Voucher,98.99
Sunday,2022-11-13,Integrated EFTPOS,2632.79
Monday,2022-11-14,Integrated EFTPOS,2566.76
Tuesday,2022-11-15,Integrated EFTPOS,1066.92
Tuesday,2022-11-15,Mail Order Pickup,206.98
Wednesday,2022-11-16,Integrated EFTPOS,2902.77
Wednesday,2022-11-16,Mail Order Pickup,71.99
Thursday,2022-11-17,Integrated EFTPOS,2245.9
Friday,2022-11-18,Account,179.99
Friday,2022-11-18,Integrated EFTPOS,3949.24
Saturday,2022-11-19,Gift Voucher,170.0
Saturday,2022-11-19,Integrated EFTPOS,6041.06
Sunday,2022-11-20,Integrated EFTPOS,3225.9
Sunday,2022-11-20,PayPal,-49.0
Monday,2022-11-21,Birthday Voucher Refund,20.0
Monday,2022-11-21,CASH,140.0
Monday,2022-11-21,Integrated EFTPOS,2582.8
Monday,2022-11-21,Mail Order Pickup,134.99
Tuesday,2022-11-22,Integrated EFTPOS,1899.25
Tuesday,2022-11-22,Mail Order Pickup,99.0
Wednesday,2022-11-23,Integrated EFTPOS,2829.69
Wednesday,2022-11-23,Mail Order Pickup,185.98
Thursday,2022-11-24,Gift Voucher,20.0
Thursday,2022-11-24,Integrated EFTPOS,5099.47
Thursday,2022-11-24,Mail Order Pickup,119.99
Friday,2022-11-25,Account,499.97
Friday,2022-11-25,Afterpay POS API Payment,-59.99
Friday,2022-11-25,CASH,779.95
Friday,2022-11-25,Integrated EFTPOS,5743.37
Friday,2022-11-25,Mail Order Pickup,87.99
Saturday,2022-11-26,CASH,116.0
Saturday,2022-11-26,Integrated EFTPOS,7691.17
Sunday,2022-11-27,Afterpay POS API Payment,-151.99
Sunday,2022-11-27,CASH,272.0
Sunday,2022-11-27,Gift Voucher,310.0
Sunday,2022-11-27,Integrated EFTPOS,7373.52
Monday,2022-11-28,Account,50.0
Monday,2022-11-28,Integrated EFTPOS,2458.7
Monday,2022-11-28,Mail Order Pickup,647.95
Tuesday,2022-11-29,Gift Voucher,20.0
Tuesday,2022-11-29,Integrated EFTPOS,2769.19
Tuesday,2022-11-29,Mail Order Pickup,188.98
Wednesday,2022-11-30,Account,199.98
Wednesday,2022-11-30,Gift Voucher,20.0
Wednesday,2022-11-30,Integrated EFTPOS,2381.77
Thursday,2022-12-01,Gift Voucher,20.0
Thursday,2022-12-01,Integrated EFTPOS,184.94
Friday,2022-12-02,Gift Voucher,20.0
Friday,2022-12-02,Integrated EFTPOS,1474.33
Saturday,2022-12-03,Account,515.04
Saturday,2022-12-03,Integrated EFTPOS,3020.66
Sunday,2022-12-04,Gift Voucher,391.97
Sunday,2022-12-04,Integrated EFTPOS,1633.77
Monday,2022-12-05,Integrated EFTPOS,2428.39
Monday,2022-12-05,Mail Order Pickup,858.95
Tuesday,2022-12-06,Gift Voucher,28.41
Tuesday,2022-12-06,Integrated EFTPOS,1016.51
Wednesday,2022-12-07,Account,189.98
Wednesday,2022-12-07,Integrated EFTPOS,2616.63
Thursday,2022-12-08,Gift Voucher,100.0
Thursday,2022-12-08,Integrated EFTPOS,3390.67
Thursday,2022-12-08,Mail Order Pickup,119.99
Friday,2022-12-09,CASH,240.0
Friday,2022-12-09,Integrated EFTPOS,2784.74
Friday,2022-12-09,Mail Order Pickup,251.98
Saturday,2022-12-10,CASH,172.0
Saturday,2022-12-10,Gift Voucher,20.0
Saturday,2022-12-10,Integrated EFTPOS,4289.62
Sunday,2022-12-11,CASH,195.95
Sunday,2022-12-11,Gift Voucher,20.0
Sunday,2022-12-11,Integrated EFTPOS,3186.14
Monday,2022-12-12,CASH,135.0
Monday,2022-12-12,Gift Voucher,20.0
Monday,2022-12-12,Integrated EFTPOS,1733.84
Monday,2022-12-12,Mail Order Pickup,118.99
Tuesday,2022-12-13,Integrated EFTPOS,1835.26
Wednesday,2022-12-14,Integrated EFTPOS,3282.21
Thursday,2022-12-15,Gift Voucher,355.3
Thursday,2022-12-15,Integrated EFTPOS,2805.38
Thursday,2022-12-15,Mail Order Pickup,104.99
Friday,2022-12-16,CASH,50.0
Friday,2022-12-16,Integrated EFTPOS,1803.82
Friday,2022-12-16,Mail Order Pickup,235.98
Friday,2022-12-16,PayPal,-300.98
Saturday,2022-12-17,Account,571.97
Saturday,2022-12-17,Gift Voucher,290.0
Saturday,2022-12-17,Integrated EFTPOS,2862.63
Sunday,2022-12-18,CASH,60.0
Sunday,2022-12-18,Gift Voucher,40.0
Sunday,2022-12-18,Integrated EFTPOS,2866.45
Monday,2022-12-19,CASH,150.0
Monday,2022-12-19,Integrated EFTPOS,2934.22
Monday,2022-12-19,Mail Order Pickup,104.99
Tuesday,2022-12-20,CASH,171.0
Tuesday,2022-12-20,Integrated EFTPOS,4544.54
Wednesday,2022-12-21,Account,510.0
Wednesday,2022-12-21,Gift Voucher,40.0
Wednesday,2022-12-21,Integrated EFTPOS,4657.72
Thursday,2022-12-22,CASH,189.0
Thursday,2022-12-22,Gift Voucher,50.0
Thursday,2022-12-22,Integrated EFTPOS,9010.5
Friday,2022-12-23,CASH,445.0
Friday,2022-12-23,Integrated EFTPOS,7608.27
Saturday,2022-12-24,CASH,324.0
